RucProveedor;CodFactura;ProductoFactura;UnidadFactura;CostoFactura;CodProducto;Producto;Marca;Categoria;UnidadMedidaCompra;FactorVenta;TipoResultado;ScoreFinal;Rank
20408725586;00021;CALAMINA GALV OND 0.26 X 810 X 3.60 TORTUGA;UNIDAD;30.0;16275;PAN GISSELA TORTUGA;GISSELA;PANADERIA Y PASTELERIA;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.17962376844059946;1
20605902317;00021;CALAMINA GALV OND 0.26 X 810 X 3.60 TORTUGA;UNIDAD;30.0;28005;RON CAPTAIN MORGAN 700 ML;CAPTAIN MORGAN;LICORES;UNIDAD;1.0;ALTERNATIVA;0.1587703818313065;2
20541259768;00021;CALAMINA GALV OND 0.26 X 810 X 3.60 TORTUGA;UNIDAD;30.0;40480;SANDALIAS IPANEMA CLASS BRASIL AZUL/BLANCO;IPANEMA;CALZADOS;UNIDAD;1.0;ALTERNATIVA;0.13870635946723125;3
10011589427;001;ZANAHORIA;KILOS;6.0;2320;ZANAHORIA KG.;_;VERDURAS;KILOGRAMO;1.0;TENTATIVO;0.56258253626067;1
10011589427;001;ZANAHORIA;KILOS;6.0;8744;MANZANILLA KG;_;VERDURAS;KILOGRAMO;1.0;ALTERNATIVA;0.20922722704218835;2
10011589427;001;ZANAHORIA;KILOS;6.0;1372;MANZANA DE AGUA;_;FRUTAS;KILOGRAMO;1.0;ALTERNATIVA;0.2084858859667178;3
10011589427;002;LIMï¿½N TAITI;KILOS;2.0;13229;TOMATE LIMEÑO;_;VERDURAS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.21575751808566132;1
10011589427;002;LIMï¿½N TAITI;KILOS;2.0;1794;SANDIA KG;_;FRUTAS;KILOGRAMO;1.0;ALTERNATIVA;0.20651983880454108;2
10011589427;002;LIMï¿½N TAITI;KILOS;2.0;1014;HIERBA BUENA KG.;_;VERDURAS;KILOGRAMO;1.0;ALTERNATIVA;0.20495401449528364;3
10011589427;004;MARACUYï¿½;KILOS;5.5;1372;MANZANA DE AGUA;_;FRUTAS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.2148484694882631;1
10011589427;004;MARACUYï¿½;KILOS;5.5;542;CULANTRO KG.;_;VERDURAS;KILOGRAMO;1.0;ALTERNATIVA;0.19744418138960415;2
10011589427;004;MARACUYï¿½;KILOS;5.5;1374;MARACUYA KG;_;FRUTAS;KILOGRAMO;1.0;ALTERNATIVA;0.1954721304883215;3
10011589427;003;MARACUYï¿½;KILOS;5.0;1374;MARACUYA KG;_;FRUTAS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.22220778505710204;1
10011589427;003;MARACUYï¿½;KILOS;5.0;542;CULANTRO KG.;_;VERDURAS;KILOGRAMO;1.0;ALTERNATIVA;0.21008410035379346;2
10011589427;003;MARACUYï¿½;KILOS;5.0;1372;MANZANA DE AGUA;_;FRUTAS;KILOGRAMO;1.0;ALTERNATIVA;0.20310442268327755;3
20128915711;9464;"BROCHA ZAFIRO DE 1 1/2&quot; MANGO ANARANJADO";UNIDAD;2.5;39138;CERVEZA GOLDEN 473 LATA;GOLDEN;LICORES;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.24685791813585958;1
20493654463;9464;"BROCHA ZAFIRO DE 1 1/2&quot; MANGO ANARANJADO";UNIDAD;2.5;20001;KEKE BIMBO BIMBOLETES VAINILLA 2 UND/55 GR;BIMBO;PANADERIA Y PASTELERIA;UNIDAD;1.0;ALTERNATIVA;0.22763659281812734;2
20493627903;9464;"BROCHA ZAFIRO DE 1 1/2&quot; MANGO ANARANJADO";UNIDAD;2.5;50801;TINTA PARA TAMPON ARTESCO NEGRO.;_;LIBRERIA;UNIDAD;1.0;ALTERNATIVA;0.20958478585803295;3
20528367519;0000002632;CAJA ORG 80 CTAPA-KOSMOPLAST;UNIDAD;40.0;30466;SARTEN WOK ANTIADH REDBLUE ILKO 28 CM;ILKO;COCINA;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.29719692417082755;1
20614642573;0000002632;CAJA ORG 80 CTAPA-KOSMOPLAST;UNIDAD;40.0;30432;BOLSA _ STRECH FILL NRO. 18;_;SUMINISTROS - CONSUMO INTERNO;UNIDAD;1.0;ALTERNATIVA;0.29677059798956223;2
20493654463;0000002632;CAJA ORG 80 CTAPA-KOSMOPLAST;UNIDAD;40.0;40480;SANDALIAS IPANEMA CLASS BRASIL AZUL/BLANCO;IPANEMA;CALZADOS;UNIDAD;1.0;ALTERNATIVA;0.2956246271636064;3
20528367519;0000001860;"CUCHILLO CARNICERO 10""MCOLORES 24621080-TRAMONTINA";UNIDAD;80.0;32393;ACCESORIO ILKO CUCHILLO PELADOR 9.5 CM;ILKO;COCINA;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.3835009388127013;1
